Cluster-Nummer;Cluster-Name;Subskalen;Code;Items;invertiert
1; Analytisches und kritisches Denken;Analytisches Denken;1AD01;Ich identifiziere Annahmen, die einem Argument zugrunde liegen.;
1; Analytisches und kritisches Denken;Analytisches Denken;1AD02;Ich stelle Fragen, um die Genauigkeit von Beweisen zu überprüfen.;
1; Analytisches und kritisches Denken;Analytisches Denken;1AD03;Wenn ich verschiedene Meinungen höre, fällt es mir schwer, Gemeinsamkeiten oder Unterschiede darin zu erkennen.;True
1; Analytisches und kritisches Denken;Analytisches Denken;1AD04;Ich suche aktiv nach zusätzlichen Informationen, um eine fundierte Einschätzung vorzunehmen.;
1; Analytisches und kritisches Denken;Systematisch-methodisches Vorgehen;1SM01;Ich unterteile komplexe Probleme in kleinere, handhabbare Teile.;
1; Analytisches und kritisches Denken;Systematisch-methodisches Vorgehen;1SM02;Muster und Strukturen in Argumenten oder Daten zu finden, gehört zu meinen Stärken.;
1; Analytisches und kritisches Denken;Systematisch-methodisches Vorgehen;1SM03;Ich untersuche den Denkprozess hinter einem Argument.;
1; Analytisches und kritisches Denken;Systematisch-methodisches Vorgehen;1SM04;Ich verwende strukturierte Ansätze, um verschiedene Lösungen zu bewerten.;
1; Analytisches und kritisches Denken;Beurteilungsvermögen;1BV01;Ich bewerte die Relevanz von Informationen im gegebenen Kontext.;
1; Analytisches und kritisches Denken;Beurteilungsvermögen;1BV02;Um fundierte Entscheindungen treffen zu können, analysiere ich verschiedene Lösungen sorgfältig.;
1; Analytisches und kritisches Denken;Beurteilungsvermögen;1BV03;Ich bewerte die Glaubwürdigkeit von Quellen kritisch, bevor ich mich auf sie verlasse.;
1; Analytisches und kritisches Denken;Beurteilungsvermögen;1BV04;Ich ziehe mögliche Konsequenzen in Betracht, bevor ich eine Entscheidung treffe.;
1; Analytisches und kritisches Denken;Ganzheitliches Denken;1GD01;Ich betrachte verschiedene Perspektiven, wenn ich ein Problem analysiere. ;
1; Analytisches und kritisches Denken;Ganzheitliches Denken;1GD02;Ich identifiziere Verbindungen zwischen verschiedenen Konzepten oder Argumenten.;
1; Analytisches und kritisches Denken;Ganzheitliches Denken;1GD03;Bei meinen Denkprozessen betrachte ich Probleme aus mehreren Blickwinkeln.;
1; Analytisches und kritisches Denken;Problemlösefähigkeit;1PF01;Ich generiere mehrere Optionen, bevor ich eine Lösung auswähle.;
1; Analytisches und kritisches Denken;Problemlösefähigkeit;1PF02;Ich bewerte die Durchführbarkeit von Lösungen, bevor ich sie umsetze.;
